Name,Year,Gender,Link,Cast,Directors,Description
Chicas buenas,2018,Comedias de TV,https://www.netflix.com/ar/title/80177342,Tres madres planean el asalto a un supermercado para acabar con sus problemas económicos y hacerse independientes.,"Christina Hendricks,Retta,Mae Whitman",Tres madres planean el asalto a un supermercado para acabar con sus problemas económicos y hacerse independientes.
El stand de los besos 2,2020,Comedias,https://www.netflix.com/ar/title/81026818,"Aún no sabe a qué universidad ir, y Elle ya sopesa su amor a distancia con Noah, otro tipo de amistad con Lee y lo que siente por un nuevo compañero de clase.","Joey King,Joel Courtney,Jacob Elordi","Aún no sabe a qué universidad ir, y Elle ya sopesa su amor a distancia con Noah, otro tipo de amistad con Lee y lo que siente por un nuevo compañero de clase."
Papá por dos,2020,Películas familiares,https://www.netflix.com/ar/title/81175170,"Aprovechando que su madre está de viaje, una adolescente escapa de la comuna hippie en que viven y emprende una aventura transformadora para averiguar quién es su padre.","Maisa Silva,Eduardo Moscovis,Marcelo Médici","Aprovechando que su madre está de viaje, una adolescente escapa de la comuna hippie en que viven y emprende una aventura transformadora para averiguar quién es su padre."
Emily en París,2020,Comedias de TV,https://www.netflix.com/ar/title/81037371,"Gracias a un trabajo soñado, una ejecutiva de Chicago comienza una nueva etapa en París. Pero equilibrar carrera, amistades y amor no es tarea fácil, ni siquiera allí.","Lily Collins,Philippine Leroy-Beaulieu,Ashley Park","Gracias a un trabajo soñado, una ejecutiva de Chicago comienza una nueva etapa en París. Pero equilibrar carrera, amistades y amor no es tarea fácil, ni siquiera allí."
Corazón loco,2020,Películas argentinas,https://www.netflix.com/ar/title/81108677,"Fernando es un hombre de familias... Sí, está igual de comprometido con ambas. Hasta que el destino decide jugarle en contra y enfrentarlas cara a cara.","Adrián Suar,Soledad Villamil,Gabriela Toscano","Fernando es un hombre de familias... Sí, está igual de comprometido con ambas. Hasta que el destino decide jugarle en contra y enfrentarlas cara a cara."
Alexa & Katie,2018,Sitcoms,https://www.netflix.com/ar/title/80174285,"Alexa, una adolescente que lucha contra el cáncer, enfrenta los desafíos del primer año escolar junto con su mejor amiga Katie, ¡y están más que listas para lo que venga!","Paris Berelc,Isabel May,Tiffani Thiessen","Alexa, una adolescente que lucha contra el cáncer, enfrenta los desafíos del primer año escolar junto con su mejor amiga Katie, ¡y están más que listas para lo que venga!"
El rey: Eterno monarca,2020,Dramas de TV,https://www.netflix.com/ar/title/81260283,"Un emperador coreano contemporáneo atraviesa un enigmático portal y entra en un mundo paralelo, en el cual se encuentra con una resuelta detective de policía.","Lee Min-ho,Kim Go-eun,Woo Do‑hwan","Un emperador coreano contemporáneo atraviesa un enigmático portal y entra en un mundo paralelo, en el cual se encuentra con una resuelta detective de policía."
Tigre Blanco,2021,Dramas,https://www.netflix.com/ar/title/80202877,El ambicioso chofer de una adinerada familia india usa su ingenio y astucia para salir de la pobreza y convertirse en empresario. Basada en la exitosa novela homónima.,"Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas",El ambicioso chofer de una adinerada familia india usa su ingenio y astucia para salir de la pobreza y convertirse en empresario. Basada en la exitosa novela homónima.
Carmel: ¿Quién mató a María Marta?,2020,TV argentina,https://www.netflix.com/ar/title/81017110,Una mujer muere en la bañera junto a un charco de sangre. Su marido especula que tuvo un accidente. Pero la autopsia cuenta una historia muy diferente.,No Info,Una mujer muere en la bañera junto a un charco de sangre. Su marido especula que tuvo un accidente. Pero la autopsia cuenta una historia muy diferente.
La casa de las flores,2018,Comedias de TV,https://www.netflix.com/ar/title/80160935,"En esta comedia negra, una adinerada matriarca intenta mantener la imagen de familia perfecta luego de que la amante de su esposo ventila los trapos sucios.","Cecilia Suárez,Aislinn Derbez,Darío Yazbek","En esta comedia negra, una adinerada matriarca intenta mantener la imagen de familia perfecta luego de que la amante de su esposo ventila los trapos sucios."
Star Trek: Discovery,2018,Acción y aventuras de TV,https://www.netflix.com/ar/title/80126024,"Se desata una guerra entre la Federación y el Imperio klingon tras un siglo de silencio, y una oficial de la Flota Estelar se encuentra en el centro del conflicto.","Sonequa Martin-Green,Doug Jones,Anthony Rapp","Se desata una guerra entre la Federación y el Imperio klingon tras un siglo de silencio, y una oficial de la Flota Estelar se encuentra en el centro del conflicto."
Enola Holmes,2020,Películas familiares,https://www.netflix.com/ar/title/81277950,"Cuando su madre desaparece, la joven Enola descubre que sus hermanos, Sherlock y Mycroft, no son de gran ayuda. Pero ella es una auténtica Holmes y resolverá el caso.","Millie Bobby Brown,Henry Cavill,Sam Claflin","Cuando su madre desaparece, la joven Enola descubre que sus hermanos, Sherlock y Mycroft, no son de gran ayuda. Pero ella es una auténtica Holmes y resolverá el caso."
Dulce hogar,2020,Dramas coreanos basados en webcómics,https://www.netflix.com/ar/title/81061734,"Cuando los humanos se transforman en monstruos feroces y siembran el terror, un adolescente atormentado y sus vecinos luchan por sobrevivir... y aferrarse a su humanidad.","Song Kang,Lee Jin-uk,Lee Si-young","Cuando los humanos se transforman en monstruos feroces y siembran el terror, un adolescente atormentado y sus vecinos luchan por sobrevivir... y aferrarse a su humanidad."
Outer Banks,2020,Acción y aventuras de TV,https://www.netflix.com/ar/title/80236318,"En una isla de ricos y pobres, el adolescente John B. convence a sus tres mejores amigos de buscar un tesoro legendario relacionado con la desaparición de su padre.","Chase Stokes,Madelyn Cline,Madison Bailey","En una isla de ricos y pobres, el adolescente John B. convence a sus tres mejores amigos de buscar un tesoro legendario relacionado con la desaparición de su padre."
Salir del ropero,2020,Comedias,https://www.netflix.com/ar/title/80173486,Dos mujeres de más de setenta años se sinceran con sus respectivas familias para casarse. Esa decisión desata el caos y pone en riesgo el compromiso de una nieta.,"Rosa María Sardà,Verónica Forqué,Ingrid García Jonsson",Dos mujeres de más de setenta años se sinceran con sus respectivas familias para casarse. Esa decisión desata el caos y pone en riesgo el compromiso de una nieta.
Carmen Sandiego,2019,Dibujos animados,https://www.netflix.com/ar/title/80167821,"Carmen Sandiego se escabulle por el mundo con sus secuaces para frustrar los planes malvados de V.I.L.E. Es una ladrona experta, y está del lado de los buenos.","Gina Rodriguez,Finn Wolfhard,Abby Trott","Carmen Sandiego se escabulle por el mundo con sus secuaces para frustrar los planes malvados de V.I.L.E. Es una ladrona experta, y está del lado de los buenos."
El último baile,2020,Deportes y salud física,https://www.netflix.com/ar/title/80203144,"Esta docuserie sigue el ascenso de la superestrella Michael Jordan y los Chicago Bulls de los noventa, e incluye material inédito de la inolvidable temporada 1997-1998.","Michael Jordan,Scottie Pippen,Dennis Rodman","Esta docuserie sigue el ascenso de la superestrella Michael Jordan y los Chicago Bulls de los noventa, e incluye material inédito de la inolvidable temporada 1997-1998."
Recuerdos de juventud,2020,Series coreanas,https://www.netflix.com/ar/title/81290301,Dos actores y una maquilladora se abren camino en un mundo en el que importa más el lugar donde nacieron que la pasión para conseguir sus sueños.,"Park Bo-gum,Park So-dam,Byeon Woo-seok",Dos actores y una maquilladora se abren camino en un mundo en el que importa más el lugar donde nacieron que la pasión para conseguir sus sueños.
Está bien no estar bien,2020,Comedias de TV,https://www.netflix.com/ar/title/81243992,El cruce de las vidas de una escritora de libros infantiles antisocial y un abnegado asistente psiquiátrico abre el camino menos pensado hacia la sanación emocional.,"Kim Soo-hyun,Seo Yea-ji,Oh Jung-se",El cruce de las vidas de una escritora de libros infantiles antisocial y un abnegado asistente psiquiátrico abre el camino menos pensado hacia la sanación emocional.
La vieja guardia,2020,Acción y aventuras,https://www.netflix.com/ar/title/81038963,"Cuatro guerreros inmortales que llevan siglos protegiendo a la humanidad son perseguidos por sus misteriosos poderes, justo cuando descubren a una nueva integrante.","Charlize Theron,KiKi Layne,Marwan Kenzari","Cuatro guerreros inmortales que llevan siglos protegiendo a la humanidad son perseguidos por sus misteriosos poderes, justo cuando descubren a una nueva integrante."
La maldición de Bly Manor,2020,Misterios para TV,https://www.netflix.com/ar/title/81237854,"Morir no significa desaparecer, y una au pair lo descubre al caer en un abismo de secretos aterradores en este romance gótico del creador de La maldición de Hill House.","Victoria Pedretti,Oliver Jackson-Cohen,Henry Thomas","Morir no significa desaparecer, y una au pair lo descubre al caer en un abismo de secretos aterradores en este romance gótico del creador de La maldición de Hill House."
