Name,Year,Type,Gender,Rating,Link,Cast,Directors,Description
Bletchley Circle,2012 ,Serie, Drama ,No Rating,https://acorn.tv/bletchleycircle/,"Rachael Stirling,Julie Graham,Sophie Rundle,Anna Maxwell Martin,Hattie Morahan",The Bletchley Circle: San Francisco,"Este misterio ""inteligente, adictivo"", (Variety) sigue a un grupo de rompe códigos que trabajaron en Bletchley Park en la Segunda Guerra Mundial. Una década después, las mujeres se reunen cuando una de ellas nota un patrón en una serie de asesinatos que sus destrezas únicas podrían resolver. Protagonizada por Anna Maxwell Martin (La muerte viene a Pemberley), Rachael Stirling (Detectorists), Julie Graham (Shetland), y Sophie rundle (Peaky Blinders). Este misterio ""inteligente, adictivo"", (Variety) sigue a un grupo de antiguos rompe códigos de Blethley Park que se reunen para resolver una serie de asesinatos en Gran Bretaña en los años 1950s."
The Nest,2020 ,Serie, Suspenso ,4.4,https://acorn.tv/nest/,"Mirren Mack,Martin Compston,Sophie Rundle,Liz Ewing,Shirley Henderson",Nicole Taylor,"Martin Compston (Line of Duty) y Sophie Rundle (Bodyguard) protagonizan este drama escocés de suspenso sobre una pareja rica que haría cualquier cosa por tener un bebé. Tras un encuentro casual, reclutan a una joven de 18 años pasando por una mala racha (Mirren Mack, Sex Education) para que sea una madre de alquiler, pero surgen secretos sobre el pasado de la chica que podrían hacerlos que se arrepientan de su trato. ""Atractivo, intrigante"" - The Guardian."
Hamish Macbeth,1995 ,Serie, Misterio ,No Rating,https://acorn.tv/hamishmacbeth/,"Robert Carlyle,Ralph Riach,Brian Pettifer,Stuart Davids,Shirley Henderson",20,"Basado en los queridos misterios de M.C. Beaton (Agatha Raisin), en Hamish Macbeth protagoniza Robert Carlyle en el papel del título como un policía rural sin ambiciones. Hamish patrulla el hermoso pueblo de Highland de Lochdubh con su pareja canina indispensable, Wee Jock. CC Disponible."
The Fragile Heart,1996 ,Serie, Drama médico ,No Rating,https://acorn.tv/fragileheart/,"Nigel Hawthorne,Dearbhla Molloy,Helen McCrory,Dominic Mafham,Robert Langdon Lloyd","Premio de Televisión de la Academia Británica al Mejor Serial de Drama, MÁS","El renombrado cirujano cardíaco Edgar Pascoe es un hombre urbano, ambicioso y totalmente confiado en sus habilidades. Pero una sucesión de acontecimientos sacude los cimientos de su vida personal y profesional en esta """"convincente"""" miniserie """"sobre la fragilidad del alma"""" (New Zealand Herald). Protagonizada por Nigel Hawthorne (The Madness of King George), que ganó un BAFTA al mejor actor, y Helen McCrory (Peaky Blinders)."
The Good Karma Hospital,2017 ,Serie, Drama ,4.8,https://acorn.tv/goodkarmahospital/,"Amrita Acharya,Amanda Redman,James Floyd,Neil Morrissey,Nimmi Harasgama",Dan Sefton,"Buscando un nuevo comienzo, la Dra. Ruby Walker (Amrita Acharia, Game of Thrones) toma un trabajo en la India en el destartalado Hospital Good Karma, dirigido por la formidable Dra. Lydia Fonseca (Amanda Redman, New Tricks). En este conmovedor drama también protagonizan Phyllis Logan (Downton Abbey), Philip Jackson (Poirot, de Agatha Christie) y Darshan Jariwalla (Sense8)."
The Brokenwood Mysteries,2014 ,Serie, Drama ,4.8,https://acorn.tv/brokenwoodmysteries/,"Fern Sutherland,Neill Rea,Cristina Șerban,Pana Hema Taylor,Nic Sampsom","Joshua Frizzell, Michael Hurst, Murray Keane, Katie Wolfe, Oliver Driver, Aidee Walker, Mike Smith","Esta peculiar serie neozelandesa de misterio y crimen sigue al detective Mike Shepherd, recién llegado al tranquilo Brokenwood en su auto clásico, su colección de música country y quién sabe cuántas exesposas. Su asistente, la detective Kristin Sims, quince años más joven que su auto, trabaja según las reglas. Juntos comprobarán que un pueblo chico siempre está lleno de secretos macabros."
Amnesia,2004 ,Serie, Suspenso ,No Rating,https://acorn.tv/amnesia/,"Anthony Calf,Jemma Redgrave,John Hannah,Patrick Malahide,Brendan Coyle",Chris Lang,"Aclamada por Variety como fascinante con un elenco estelar, esta película de suspense es protagonizada por John Hannah (La Momia) en el papel de DS Mack Stone, quien, mientras va en búsqueda de su esposa desaparecida, descubre un asesinato encubierto por una pretensión de amnesia. Pero, en la medida en que Stone investiga, comienza a dudar sus propios recuerdos. Coprotagonizada por Jemma Redgrave (Bramwell), Anthony Calf (New Tricks), y Brendan Coyle (Downton Abbey)."
Jack Irish,2016 ,Serie, Crimen ,No Rating,https://acorn.tv/jackirish/,"Marta Dusseldorp,Guy Pearce,Aaron Pedersen,Roy Billing,Shane Jacobson","Andrew Knight, Matt Cameron, Andrew Anastasios","El ganador del Emmy® Guy Pearce (Iron Man 3) encarna al ex abogado criminal convertido en detective privado Jack Irish en esta aclamada serie noir australiana. Con la ayuda de Linda Hillier, y en ocasiones interés amoroso, Jack investiga casos que lo llevan a los círculos más oscuros de Melbourne . ""Romántica, exótica, llena de suspenso e ingenio ácido, Jack es el paquete completo"" TV Guide"
White Teeth,2002 ,Serie, Drama ,No Rating,https://acorn.tv/whiteteeth/,"Phil Davis,Om Puri,Naomie Harris,Archie Panjabi,Christopher Simpson",4,"Esta comedia épica adaptada de la novela ganadora de premios escrita por Zadie Smith cuenta la historia de tres familias que viven en Willesden, al noroeste de Londres. Sus vidas, pasadas y presentes, se entretejen con comedia y estilo a lo largo de tres décadas en el crisol cultural de la Bretaña moderna."
The Sommerdahl Murders (Danish Version),No year,Serie,No genre,No Rating,https://acorn.tv/sommerdahl_intl/,No casters,No Directors,"DCI Dan Sommerdahl investiga asesinatos en una encantadora ciudad costera danesa con su mejor amigo, el detective Flemming Torp, y su esposa, Marianne, una técnica criminal. Pero los años de devoción de Dan por el trabajo han dañado su matrimonio, y con Marianne queriendo divorciarse, Dan descubre que su rival por sus afectos no es otro que su mejor amigo. Y todos deben trabajar juntos para resolver crímenes."
